source,ioc_type,value,timestamp
AlienVault,ip/domain,reputation.alienvault.com,2025-07-24T19:53:42.378029
AlienVault,ip/domain,49.143.32.6,2025-07-24T19:53:42.378076
AlienVault,ip/domain,222.77.181.28,2025-07-24T19:53:42.378092
AlienVault,ip/domain,180.151.24.60,2025-07-24T19:53:42.378105
AlienVault,ip/domain,157.61.212.1,2025-07-24T19:53:42.378117
AlienVault,ip/domain,70.50.152.130,2025-07-24T19:53:42.378130
AlienVault,ip/domain,193.169.252.158,2025-07-24T19:53:42.378142
AlienVault,ip/domain,100.27.42.242,2025-07-24T19:53:42.378154
AlienVault,ip/domain,100.27.42.243,2025-07-24T19:53:42.378165
AlienVault,ip/domain,100.27.42.244,2025-07-24T19:53:42.378177
AlienVault,ip/domain,100.27.42.241,2025-07-24T19:53:42.378189
AlienVault,ip/domain,156.251.136.4,2025-07-24T19:53:42.378201
AlienVault,ip/domain,103.231.172.42,2025-07-24T19:53:42.378213
AlienVault,ip/domain,185.128.41.50,2025-07-24T19:53:42.378225
AlienVault,ip/domain,45.146.164.110,2025-07-24T19:53:42.378235
AlienVault,ip/domain,4.71.37.45,2025-07-24T19:53:42.378248
AlienVault,ip/domain,4.71.37.46,2025-07-24T19:53:42.378260
AlienVault,ip/domain,210.13.110.60,2025-07-24T19:53:42.378272
AlienVault,ip/domain,103.40.172.173,2025-07-24T19:53:42.378283
AlienVault,ip/domain,203.248.175.71,2025-07-24T19:53:42.378294
AlienVault,ip/domain,203.248.175.72,2025-07-24T19:53:42.378305
AlienVault,ip/domain,216.4.95.61,2025-07-24T19:53:42.378316
AlienVault,ip/domain,140.206.86.124,2025-07-24T19:53:42.378328
AlienVault,ip/domain,216.4.95.62,2025-07-24T19:53:42.378339
AlienVault,ip/domain,103.40.172.189,2025-07-24T19:53:42.378350
AlienVault,ip/domain,202.129.58.130,2025-07-24T19:53:42.378361
AlienVault,ip/domain,46.4.123.15,2025-07-24T19:53:42.378373
AlienVault,ip/domain,59.63.207.69,2025-07-24T19:53:42.378384
